station,date,prcp,tobs
USC00519397,30/03/2011,0,23.9
USC00519397,31/03/2011,0,23.3
USC00519397,1/04/2011,1.3,23.3
USC00519397,2/04/2011,1,23.9
USC00519397,3/04/2011,0,23.3
USC00519397,4/04/2011,0,23.9
USC00519397,5/04/2011,0,23.3
USC00519397,6/04/2011,2.3,21.1
USC00519397,7/04/2011,28.2,21.1
USC00519397,8/04/2011,9.1,21.1
USC00519397,9/04/2011,0.5,24.4
USC00519397,10/04/2011,0,24.4
USC00519397,11/04/2011,0,24.4
USC00519397,12/04/2011,0,24.4
USC00519397,13/04/2011,0,21.1
USC00519397,15/04/2011,0,25
USC00519397,16/04/2011,3,23.3
USC00519397,17/04/2011,0,22.8
USC00519397,18/04/2011,0,24.4
USC00519397,19/04/2011,0,24.4
USC00519397,20/04/2011,0,23.3
USC00519397,21/04/2011,0,25
USC00519397,22/04/2011,0,25
USC00519397,23/04/2011,0,25.6
USC00519397,24/04/2011,0,25
USC00519397,25/04/2011,0,25
USC00519397,26/04/2011,0,24.4
USC00519397,27/04/2011,0,25
USC00519397,29/04/2011,0,25.6
USC00519397,30/04/2011,1,24.4
USC00519397,1/05/2011,0,25
USC00519397,2/05/2011,0,25
USC00519397,3/05/2011,53.3,21.1
USC00519397,4/05/2011,0.5,24.4
USC00519397,5/05/2011,3,23.3
USC00519397,6/05/2011,3,22.2
USC00519397,7/05/2011,14,23.3
USC00519397,8/05/2011,14,22.8
USC00519397,9/05/2011,0.5,23.9
USC00519397,10/05/2011,2.8,23.9
USC00519397,11/05/2011,2.5,23.9
USC00519397,12/05/2011,0,24.4
USC00519397,13/05/2011,0,25
USC00519397,14/05/2011,0,25.6
USC00519397,15/05/2011,0,25
USC00519397,16/05/2011,0,25.6
USC00519397,17/05/2011,0,25
USC00519397,18/05/2011,0,24.4
USC00519397,19/05/2011,0.3,25
USC00519397,20/05/2011,0,26.1
USC00519397,21/05/2011,0,25
USC00519397,22/05/2011,1.5,23.3
USC00519397,23/05/2011,0.5,25.6
USC00519397,24/05/2011,0,25
USC00519397,25/05/2011,0,26.1
USC00519397,26/05/2011,0,25.6
USC00519397,27/05/2011,0,25.6
USC00519397,28/05/2011,0,25
USC00519397,29/05/2011,0,25.6
USC00519397,30/05/2011,0,25.6
USC00519397,31/05/2011,1.3,22.8
USC00519397,1/06/2011,1.8,25
USC00519397,2/06/2011,0,25.6
USC00519397,3/06/2011,14.2,22.8
USC00519397,4/06/2011,22.6,21.1
USC00519397,5/06/2011,0,24.4
USC00519397,6/06/2011,0,25
USC00519397,7/06/2011,0,25
USC00519397,8/06/2011,0.8,25
USC00519397,9/06/2011,0.3,25
USC00519397,10/06/2011,0,25.6
USC00519397,11/06/2011,0,25
USC00519397,12/06/2011,0,25
USC00519397,13/06/2011,0,25.6
USC00519397,14/06/2011,0,25.6
USC00519397,15/06/2011,0,25
USC00519397,17/06/2011,0,25.6
USC00519397,18/06/2011,0,25.6
USC00519397,19/06/2011,1.3,23.9
USC00519397,20/06/2011,1.5,24.4
USC00519397,21/06/2011,1.8,24.4
USC00519397,24/06/2011,,25
USC00519397,25/06/2011,0,25.6
USC00519397,26/06/2011,0,24.4
USC00519397,27/06/2011,0.3,25
USC00519397,28/06/2011,0.3,23.9
USC00519397,29/06/2011,0,25
USC00519397,1/07/2011,1.3,25
USC00519397,2/07/2011,0.5,25.6
USC00519397,3/07/2011,0,25.6
USC00519397,4/07/2011,0,25.6
USC00519397,5/07/2011,0.3,25.6
USC00519397,6/07/2011,0.3,24.4
USC00519397,7/07/2011,0.3,24.4
USC00519397,8/07/2011,0,25
USC00519397,9/07/2011,0.8,25
USC00519397,10/07/2011,0.5,25
USC00519397,11/07/2011,0,25.6
USC00519397,12/07/2011,0,25
USC00519397,13/07/2011,3.8,22.8
USC00519397,14/07/2011,0,25
USC00519397,15/07/2011,0,26.1
USC00519397,16/07/2011,0,25.6
USC00519397,17/07/2011,1,25
USC00519397,18/07/2011,0,25.6
USC00519397,19/07/2011,0,25.6
USC00519397,20/07/2011,0,24.4
USC00519397,21/07/2011,0.8,25
USC00519397,23/07/2011,0,25.6
USC00519397,24/07/2011,0,25
USC00519397,25/07/2011,0,25.6
USC00519397,26/07/2011,0,25.6
USC00519397,27/07/2011,1,25
USC00519397,28/07/2011,2.3,25
USC00519397,29/07/2011,1,25.6
USC00519397,30/07/2011,3,26.7
USC00519397,31/07/2011,0,25
USC00519397,1/08/2011,0,25.6
USC00519397,2/08/2011,0,25
USC00519397,3/08/2011,0,25.6
USC00519397,4/08/2011,0.5,24.4
USC00519397,5/08/2011,0.8,25.6
USC00519397,6/08/2011,0.3,25
USC00519397,7/08/2011,0,25.6
USC00519397,8/08/2011,0,25.6
USC00519397,9/08/2011,0,26.1
USC00519397,11/08/2011,0,25.6
USC00519397,12/08/2011,0,25.6
USC00519397,13/08/2011,0,24.4
USC00519397,14/08/2011,0,25.6
USC00519397,15/08/2011,0,25
USC00519397,16/08/2011,0,26.1
USC00519397,17/08/2011,0.5,25
USC00519397,18/08/2011,0,25
USC00519397,19/08/2011,0,25.6
USC00519397,20/08/2011,1.8,25
USC00519397,21/08/2011,0,25
USC00519397,22/08/2011,0,25.6
USC00519397,23/08/2011,0,25.6
USC00519397,24/08/2011,0,26.1
USC00519397,25/08/2011,0,25.6
USC00519397,26/08/2011,0,25.6
USC00519397,27/08/2011,0,26.1
USC00519397,28/08/2011,1.3,24.4
USC00519397,29/08/2011,2.5,24.4
USC00519397,30/08/2011,0.5,25.6
USC00519397,31/08/2011,0,26.1
USC00519397,2/09/2011,0,26.1
USC00519397,3/09/2011,0,25.6
USC00519397,4/09/2011,0.8,25
USC00519397,5/09/2011,0,25
USC00519397,6/09/2011,0,22.8
USC00519397,7/09/2011,0,22.8
USC00519397,8/09/2011,0,25
USC00519397,9/09/2011,0,26.1
USC00519397,10/09/2011,0,25
USC00519397,11/09/2011,0,25
USC00519397,12/09/2011,0,29.4
USC00519397,13/09/2011,0.3,25
USC00519397,14/09/2011,0,24.4
USC00519397,15/09/2011,0,26.1
USC00519397,16/09/2011,0,26.1
USC00519397,17/09/2011,0.5,25
USC00519397,18/09/2011,1,25
USC00519397,19/09/2011,0,27.8
USC00519397,20/09/2011,0,26.7
USC00519397,21/09/2011,0,26.1
USC00519397,22/09/2011,0.8,25.6
USC00519397,23/09/2011,0,24.4
USC00519397,24/09/2011,0,25
USC00519397,25/09/2011,0,23.3
USC00519397,26/09/2011,0,25
USC00519397,27/09/2011,0,25.6
USC00519397,28/09/2011,0,25
USC00519397,1/10/2011,0,25.6
USC00519397,2/10/2011,0,25.6
USC00519397,3/10/2011,0,26.7
USC00519397,5/10/2011,,26.1
USC00519397,6/10/2011,0,23.9
USC00519397,7/10/2011,0.8,25.6
USC00519397,8/10/2011,0,26.1
USC00519397,9/10/2011,0,25.6
USC00519397,10/10/2011,0.5,25
USC00519397,11/10/2011,0.8,25.6
USC00519397,12/10/2011,0,25
USC00519397,13/10/2011,0,25
USC00519397,14/10/2011,0.8,25.6
USC00519397,15/10/2011,0.5,25
USC00519397,16/10/2011,0,24.4
USC00519397,17/10/2011,0.5,25
USC00519397,18/10/2011,0.3,24.4
USC00519397,19/10/2011,0,23.3
USC00519397,20/10/2011,0,25.6
USC00519397,21/10/2011,0,24.4
USC00519397,22/10/2011,0,25
USC00519397,23/10/2011,0,23.9
USC00519397,24/10/2011,3.6,23.3
USC00519397,25/10/2011,40.6,25
USC00519397,26/10/2011,0.3,24.4
USC00519397,27/10/2011,0,25
USC00519397,28/10/2011,1.3,22.8
USC00519397,29/10/2011,0.3,24.4
USC00519397,30/10/2011,0,23.9
USC00519397,31/10/2011,0.8,24.4
USC00519397,1/11/2011,14.7,21.7
USC00519397,2/11/2011,7.1,25
USC00519397,3/11/2011,0.5,25
USC00519397,4/11/2011,0.3,23.9
USC00519397,5/11/2011,0,24.4
USC00519397,6/11/2011,0,25
USC00519397,7/11/2011,0,25.6
USC00519397,8/11/2011,0,24.4
USC00519397,9/11/2011,0.5,24.4
USC00519397,10/11/2011,0,24.4
USC00519397,11/11/2011,1.3,23.3
USC00519397,12/11/2011,0,23.9
USC00519397,13/11/2011,0,24.4
USC00519397,14/11/2011,0,22.8
USC00519397,15/11/2011,0,21.7
USC00519397,16/11/2011,0,23.9
USC00519397,17/11/2011,0,24.4
USC00519397,18/11/2011,0,25.6
USC00519397,19/11/2011,0,24.4
USC00519397,20/11/2011,0,23.9
USC00519397,21/11/2011,0.3,24.4
USC00519397,22/11/2011,0.5,22.8
USC00519397,23/11/2011,0.3,23.9
USC00519397,24/11/2011,0,22.8
USC00519397,25/11/2011,0.3,21.1
USC00519397,26/11/2011,0.5,23.9
USC00519397,27/11/2011,1.8,22.8
USC00519397,28/11/2011,0,22.2
USC00519397,29/11/2011,0,22.2
USC00519397,30/11/2011,0.5,18.9
USC00519397,1/12/2011,0.8,20.6
USC00519397,2/12/2011,2,20
USC00519397,3/12/2011,0,22.8
USC00519397,4/12/2011,0,23.3
USC00519397,5/12/2011,0,22.8
USC00519397,6/12/2011,0,22.8
USC00519397,7/12/2011,0,22.8
USC00519397,8/12/2011,0,22.8
USC00519397,9/12/2011,3.3,21.7
USC00519397,10/12/2011,1.8,22.8
USC00519397,11/12/2011,1.8,22.8
USC00519397,12/12/2011,2,25
USC00519397,13/12/2011,10.2,22.2
USC00519397,14/12/2011,17.8,21.7
USC00519397,15/12/2011,0,22.8
USC00519397,16/12/2011,0.3,21.1
USC00519397,17/12/2011,1.8,22.8
USC00519397,18/12/2011,0.5,20.6
USC00519397,19/12/2011,3.8,23.3
USC00519397,20/12/2011,0.5,22.2
USC00519397,21/12/2011,4.6,21.7
USC00519397,22/12/2011,0.8,22.2
USC00519397,23/12/2011,1,22.2
USC00519397,24/12/2011,2.5,21.1
USC00519397,25/12/2011,0.8,22.8
